NAMESPACE       NAME                                      TYPE           CLUSTER-IP    EXTERNAL-IP       PORT(S)                        AGE
spegel          spegel-bootstrap                          ClusterIP      None          <none>            5001/TCP                       133d
spegel          spegel-registry                           NodePort       10.3.73.214   <none>            5000:30021/TCP                 133d
staging         agent-neo                                 ClusterIP      10.3.72.149   <none>            80/TCP                         128d
staging         agent-renee-qr                            ClusterIP      10.3.73.169   <none>            80/TCP                         57d
staging         ai-blood-report-extraction                ClusterIP      10.3.72.184   <none>            80/TCP                         186d
staging         ai-foodanalyzer                           ClusterIP      10.3.73.67    <none>            80/TCP                         239d
staging         ai-glucose-data                           ClusterIP      10.3.73.4     <none>            80/TCP                         175d
staging         ai-mealplanner                            ClusterIP      10.3.72.62    <none>            80/TCP                         239d
staging         ai-mira-voice-agent                       ClusterIP      10.3.73.231   <none>            80/TCP                         137d
staging         ai-mira-web-agent                         ClusterIP      10.3.73.90    <none>            80/TCP                         125d
staging         ai-reporting                              ClusterIP      10.3.72.34    <none>            80/TCP                         239d
staging         ai-sandbox                                ClusterIP      10.3.72.113   <none>            80/TCP                         239d
staging         barcode-scanner                           ClusterIP      10.3.72.156   <none>            80/TCP                         239d
staging         chat-api                                  ClusterIP      10.3.73.203   <none>            80/TCP                         239d
staging         chat-api-notification-service             ClusterIP      10.3.72.250   <none>            80/TCP                         81d
staging         dhruva                                    ClusterIP      10.3.73.223   <none>            80/TCP                         239d
staging         dhruva-api                                ClusterIP      10.3.73.60    <none>            80/TCP                         251d
staging         dhruvare                                  ClusterIP      10.3.72.63    <none>            80/TCP                         239d
staging         elevenlabs-service                        ClusterIP      10.3.73.222   <none>            80/TCP                         136d
staging         grocery-list                              ClusterIP      10.3.72.205   <none>            80/TCP                         44d
staging         imaging-api                               ClusterIP      10.3.72.178   <none>            80/TCP                         235d
staging         meal-insights-api                         ClusterIP      10.3.72.74    <none>            80/TCP                         63d
staging         mobile-api                                ClusterIP      10.3.73.165   <none>            80/TCP                         235d
staging         mobile-api-v1                             ClusterIP      10.3.73.175   <none>            80/TCP                         235d
staging         restaurants-finder                        ClusterIP      10.3.72.101   <none>            80/TCP                         108d
staging         web-api                                   ClusterIP      10.3.73.139   <none>            80/TCP                         239d
staging         web-app                                   ClusterIP      10.3.72.155   <none>            80/TCP                         251d
